City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Ngunguru,NZ,-35.6167,174.5,63.0,97,64,1.01,broken clouds
228,Kloulklubed,PW,7.0419,134.2556,78.8,89,90,5.1,moderate rain
229,Khandbari,NP,27.3747,87.2039,66.7,12,39,5.93,scattered clouds
230,Gomel,BY,52.4345,30.9754,55.4,38,0,8.95,clear sky
231,Port Blair,IN,11.6667,92.75,82.47,75,99,4.05,overcast clouds
232,Fort Nelson,CA,58.8053,-122.7002,19.4,45,20,14.97,few clouds
233,Enumclaw,US,47.2043,-121.9915,48.99,69,8,1.99,clear sky
234,Mpongwe,ZM,-13.5091,28.155,65.16,77,80,7.61,broken clouds
235,Geraldton,AU,-28.7667,114.6,75.2,94,90,23.02,overcast clouds
236,Caravelas,BR,-17.7125,-39.2481,82.65,60,54,7.07,broken clouds
237,Cidreira,BR,-30.1811,-50.2056,88.3,50,6,3.15,clear sky
238,Konya,TR,38.1667,32.5,37.4,75,75,11.5,broken clouds
239,Omsukchan,RU,62.5333,155.8,-24.3,99,95,4.52,overcast clouds
240,Bantva,IN,21.4864,70.0689,80.71,55,0,8.86,clear sky
241,Souillac,MU,-20.5167,57.5167,78.8,89,40,5.75,light rain
242,Terney,RU,45.0503,136.6092,43.32,71,42,5.99,scattered clouds
243,Torres,BR,-29.3353,-49.7269,86.95,52,23,7.52,few clouds
244,Japura,ID,-0.3167,102.35,72.97,97,53,1.36,light rain
245,Upernavik,GL,72.7868,-56.1549,32.27,76,100,13.8,snow
246,Havelock,US,34.8791,-76.9013,75.2,69,75,14.97,broken clouds
247,College,US,64.8569,-147.8028,12.0,40,75,5.75,broken clouds
248,Tommot,RU,58.9564,126.2925,12.58,92,100,11.03,light snow
249,Abha,SA,18.2164,42.5053,66.2,48,0,3.44,clear sky
250,Aksu,CN,41.1231,80.2644,59.18,25,0,6.91,clear sky
251,Ahipara,NZ,-35.1667,173.1667,62.51,91,8,2.33,clear sky
252,Puerto Lempira,HN,15.2667,-83.7667,86.0,79,40,13.8,scattered clouds
253,Xixiang,CN,35.1628,112.865,53.85,63,98,3.98,overcast clouds
254,Beaver Falls,US,40.752,-80.3192,66.99,55,90,9.22,overcast clouds
255,Urumqi,CN,43.801,87.6005,50.0,23,0,8.95,clear sky
256,Oistins,BB,13.0667,-59.5333,78.8,69,20,14.97,volcanic ash
257,Lhokseumawe,ID,5.1801,97.1507,77.67,86,11,4.09,few clouds
258,Ewa Beach,US,21.3156,-158.0072,71.6,68,75,5.75,broken clouds
259,Tamandare,BR,-8.7597,-35.1047,81.77,74,96,8.84,heavy intensity rain
260,Xushan,CN,30.1764,121.2457,64.99,94,75,6.71,light rain
261,Kalabo,ZM,-14.97,22.6814,68.47,47,1,5.44,clear sky
262,Simpang,ID,-1.2667,104.0833,73.69,96,75,0.58,broken clouds
263,Aswan,EG,24.0934,32.907,72.19,11,0,13.44,clear sky
264,Port Lincoln,AU,-34.7333,135.8667,59.95,57,100,10.96,overcast clouds
265,Honiara,SB,-9.4333,159.95,76.59,87,99,2.71,light rain
266,Tuatapere,NZ,-46.1333,167.6833,46.99,97,30,1.99,scattered clouds
267,Zafra,ES,38.4167,-6.4167,66.0,55,88,5.99,overcast clouds
268,Fond Du Lac,US,43.775,-88.4388,55.4,71,90,3.44,overcast clouds
269,Mosquera,CO,4.7059,-74.2302,68.0,49,75,11.5,broken clouds
270,Thompson,CA,55.7435,-97.8558,21.2,79,90,14.97,overcast clouds
271,Utinga,BR,-5.8172,-35.3954,87.8,70,40,13.8,scattered clouds
272,Dukat,RU,62.55,155.55,-24.81,99,98,3.98,overcast clouds
273,Lagoa,PT,39.05,-27.9833,62.85,84,87,7.78,overcast clouds
274,Marienburg,PL,54.0359,19.0266,53.01,100,100,10.4,overcast clouds
275,Santa Rosa Del Sur,CO,7.9644,-74.0544,78.49,74,100,3.11,overcast clouds
276,Ilulissat,GL,69.2167,-51.1,30.2,59,75,5.75,broken clouds
277,Hambantota,LK,6.1241,81.1185,80.46,75,86,2.19,overcast clouds
278,Hobyo,SO,5.3505,48.5268,83.01,62,89,10.76,overcast clouds
279,Ferme-Neuve,CA,46.7001,-75.4493,73.4,38,100,9.22,overcast clouds
280,Bilibino,RU,68.0546,166.4372,-25.02,94,24,4.54,few clouds
281,Chipinge,ZW,-20.1883,32.6236,62.35,73,1,5.66,clear sky
282,Stromness,GB,58.965,-3.296,39.2,60,41,8.05,scattered clouds
283,Coihaique,CL,-45.5752,-72.0662,59.0,88,90,11.5,light rain
284,West Wendover,US,40.7391,-114.0733,44.6,31,1,6.91,clear sky
285,Berlevag,NO,70.8578,29.0864,33.8,86,40,32.21,light snow
286,Bosaso,SO,11.2842,49.1816,80.6,71,5,3.13,clear sky
287,Kui Buri,TH,12.0828,99.8543,78.17,85,100,3.67,overcast clouds
288,Nortelandia,BR,-14.4547,-56.8028,90.7,47,7,4.27,clear sky
289,Conde,BR,-7.2597,-34.9075,80.6,100,75,8.05,broken clouds
290,Nagaur,IN,27.2,73.7333,84.97,6,0,4.54,clear sky
291,Malanje,AO,-9.5402,16.341,65.25,93,67,2.91,broken clouds
292,Barvinkove,UA,48.9097,37.0205,47.75,64,100,14.54,overcast clouds
293,Huangyan,CN,28.6478,121.2594,64.99,99,100,1.92,light rain
294,Olafsvik,IS,64.8945,-23.7142,36.25,98,100,19.28,overcast clouds
295,Nantucket,US,41.2835,-70.0995,50.0,87,90,10.36,overcast clouds
296,Avera,US,33.194,-82.5271,75.0,83,40,9.22,scattered clouds
297,Bonthe,SL,7.5264,-12.505,84.4,72,42,11.45,scattered clouds
298,Kisangani,CD,0.5167,25.2,75.2,94,40,1.95,scattered clouds
299,Sahuaripa,MX,29.05,-109.2333,86.97,16,100,4.07,overcast clouds
300,Honningsvag,NO,70.9821,25.9704,35.6,80,75,32.21,broken clouds
301,Kinsale,IE,51.7075,-8.5306,48.2,37,20,11.5,few clouds
302,Tevriz,RU,57.509,72.4042,34.92,86,94,9.06,overcast clouds
303,Ixtapa,MX,20.7,-105.2,80.6,65,1,9.22,clear sky
