City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Sibolga,ID,2021-04-02 17:57:20,1.7427,98.7792,76.87,85,100,3.78
139,East London,ZA,2021-04-02 17:54:17,-33.0153,27.9116,60.8,94,90,11.5
140,Vanimo,PG,2021-04-02 17:53:43,-2.6741,141.3028,76.28,91,100,5.57
141,Lorengau,PG,2021-04-02 17:54:25,-2.0226,147.2712,81.03,77,98,4.36
142,Solnechnyy,RU,2021-04-02 17:57:20,50.7214,136.6319,38.57,93,100,12.5
143,La Orilla,MX,2021-04-02 17:55:19,17.9833,-102.2333,90.9,36,3,9.95
144,Cape Town,ZA,2021-04-02 17:50:32,-33.9258,18.4232,66.99,63,0,6.91
145,Tuktoyaktuk,CA,2021-04-02 17:53:56,69.4541,-133.0374,-23.8,76,75,3.44
146,Fortuna,US,2021-04-02 17:50:25,40.5982,-124.1573,55.99,87,20,3.44
147,Sijunjung,ID,2021-04-02 17:57:21,-0.6876,100.9537,71.87,95,96,2.06
148,Novyy Urgal,RU,2021-04-02 17:57:21,51.0736,132.5642,35.73,77,100,14.76
149,Te Anau,NZ,2021-04-02 17:53:34,-45.4167,167.7167,38.91,89,44,0.89
150,Lompoc,US,2021-04-02 17:53:58,34.6391,-120.4579,64.0,82,3,6.91
151,Lapua,FI,2021-04-02 17:57:22,62.9693,23.0088,37.4,75,90,12.66
152,Sioux Lookout,CA,2021-04-02 17:55:36,50.1001,-91.917,44.6,33,90,19.57
153,Nyurba,RU,2021-04-02 17:57:22,63.2842,118.3319,-19.3,99,53,4.52
154,Qui Nhon,VN,2021-04-02 17:57:22,13.7667,109.2333,76.98,93,24,3.33
155,Bengkulu,ID,2021-04-02 17:53:23,-3.8004,102.2655,76.55,89,97,9.15
156,Lazaro Cardenas,MX,2021-04-02 17:57:23,17.9583,-102.2,90.39,38,3,9.64
157,Lagoa,PT,2021-04-02 17:53:24,39.05,-27.9833,60.39,82,100,20.29
158,Chuy,UY,2021-04-02 17:53:29,-33.6971,-53.4616,73.02,54,53,9.75
159,Aripuana,BR,2021-04-02 17:57:23,-9.1667,-60.6333,88.43,55,84,2.55
160,Martinez,US,2021-04-02 17:57:24,38.0194,-122.1341,71.01,55,1,4.61
161,Zhigansk,RU,2021-04-02 17:50:26,66.7697,123.3711,-4.9,99,100,4.16
162,Mezen,RU,2021-04-02 17:54:49,65.8522,44.24,26.85,98,100,2.68
163,North Bend,US,2021-04-02 17:56:10,43.4065,-124.2243,53.01,76,20,5.75
164,Clyde River,CA,2021-04-02 17:50:39,70.4692,-68.5914,-9.4,77,20,21.85
165,Talnakh,RU,2021-04-02 17:54:40,69.4865,88.3972,-13.81,81,29,6.2
166,Ha Giang,VN,2021-04-02 17:57:25,22.8333,104.9833,74.95,97,4,1.14
167,Sakhon Nakhon,TH,2021-04-02 17:57:25,17.1612,104.1472,86.0,61,68,4.79
168,Meleuz,RU,2021-04-02 17:54:24,52.9667,55.9167,26.87,93,6,4.88
169,Herat,AF,2021-04-02 17:57:25,34.5,62.0,66.2,27,0,3.44
170,Khasan,RU,2021-04-02 17:57:26,42.4308,130.6434,42.4,86,100,3.96
171,Manaure,CO,2021-04-02 17:57:26,11.7751,-72.4445,88.03,51,91,19.46
172,Severo-Kurilsk,RU,2021-04-02 17:53:35,50.6789,156.125,28.08,83,59,16.28
173,Kotelnikovo,RU,2021-04-02 17:57:27,47.6317,43.1461,48.69,60,93,2.75
174,Carmen,MX,2021-04-02 17:53:14,18.6333,-91.8333,82.4,61,40,16.11
175,Killarney,IE,2021-04-02 17:57:27,52.05,-9.5167,55.22,70,4,5.73
176,Muravlenko,RU,2021-04-02 17:57:27,63.7898,74.523,27.01,97,100,8.41
177,Houma,US,2021-04-02 17:57:28,29.5958,-90.7195,61.0,35,1,14.97
178,Wilmington,US,2021-04-02 17:55:00,34.2257,-77.9447,48.99,31,1,18.41
